Sl No,Udise Code,School Name,District Name,Block Name,Type,Management,Category,Class From,Class To,Status,TOT STUDENT(1 TO 12),TOT TEACHER,PS TOT,UPS TOT,SEC TOT,HI SEC TOT,Pre-Primary Availability,No. of Pre-Primary Classes,School Location,Arts Stream,Commerce Stream,Science Stream,Vocational Stream,Other Streams
58707,21230602201,Jharbahali P. UPS.,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,89,4,67,22,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58708,21230604302,KRUSHNAPUR PUPS,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,35,4,22,13,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58709,21230618901,Matikhai P. UPS.,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,115,5,72,43,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58710,21230615501,Matupali P. UPS.,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,54,4,27,27,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58711,21230606601,MEGHNAD N.U.P.S,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,29,4,16,13,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58712,21230617401,Mundomahul P. UPS.,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,107,6,62,45,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58713,21230606702,Nakdein PUPS.,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,87,4,58,29,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58714,21230611001,Sunapali P.UPS,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,28,5,20,8,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58715,21230612901,Tikuda P. UPS.,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,76,5,47,29,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58716,21230619101,Udepadar P. UPS.,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,102,5,71,31,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58717,21230604201,Jaunrabhounra UGHS.,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,130,10,40,43,47,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58718,21230617002,KEUTIPALI UGHS,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,205,11,45,48,112,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58719,21230606402,KHEMALOE UGHS,SONEPUR-2123,ULLUNDA-212306,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,284,11,60,100,124,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58752,21050101202,BANDHABAHAL HIGH SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,501,20,89,154,258,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58754,21050102601,BEHERADIHI U.P. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,60,4,35,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58759,21050100101,B.KARUA BAHAL U.P. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,233,8,134,99,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58762,21050104701,DANDPANI NODAL U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,37,2,21,16,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58770,21050100401,GOVT. HIGH SCHOOL BALISANKARA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,203,13,0,86,117,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
58798,21050100801,GOVT.U.PRY.SCHOOL BANDEGA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,168,3,93,75,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58799,21050105901,GOVT. U.PRY. SCHOOL BARHADEMA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,13,2,13,0,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58800,21050107102,GOVT. U.PRY. SCHOOL BELMUNDA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,53,3,34,19,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58801,21050100301,GOVT. U.PRY. SCHOOL KAINTARA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,33,4,14,19,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58802,21050107202,GOVT. U.PRY. SCHOOL KANDEIBERNA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,61,5,42,19,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58803,21050103902,GOVT. U.PRY. SCHOOL KUREI,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,72,5,39,33,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58804,21050103004,GOVT. U.PRY. SCHOOL KUSUMURA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,80,6,35,45,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58805,21050103205,GOVT. U.PRY. SCHOOL LULKIDIHI,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,165,4,45,120,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58806,21050106204,"GOVT. U.PRY SCHOOL, ROULDEGA",SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,134,4,0,134,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
58807,21050107701,GOVT. U.PRY. SCHOOL SAPDAGAR,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,115,5,69,46,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58808,21050107303,GOVT. U.PRY. SCHOOL SIKAJORE,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,103,6,55,48,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58810,21050107501,GOVT. U.P SCHOOL BHANDARISANKARA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,120,7,86,34,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58811,21050102602,GOVT. U.P SCHOOL. BRAHMANMARA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,23,2,0,23,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
58812,21050106902,GOVT. U.P. SCHOOL  TILDEGA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,89,8,47,42,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58819,21050106801,KENDUDIHI U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,69,5,42,27,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58821,21050103802,KHAMPUR NODAL GOVT. U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,108,5,60,48,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58824,21050101501,KINIKIBANDHA U.P. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,90,6,63,27,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58826,21050102804,KULAMANI GOVT. HIGH SCHOOL KINJIRKELA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,510,14,99,206,205,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58831,21050103102,RAIDIHI U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,47,5,17,30,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58835,21050105101,SAGBAHAL U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,129,6,78,51,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58836,21050105201,SAGJORI U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,61,3,44,17,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58837,21050105301,SANKARABAHAL U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,64,2,41,23,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58839,21050106302,TALSARA  NODAL HIGH SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,239,11,88,90,61,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58841,21050105403,TILIA NODAL U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,132,5,71,61,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58842,21050107804,TUMULIA NODAL U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,180,6,101,79,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58864,21050103202,BRAHMANIBAHAL PROJECT U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,36,4,17,19,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58865,21050101902,DHUBENDAND PROJECT U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,66,4,33,33,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58866,21050103601,GOVERNMENT PRIMARY SCHOOL JAMUDARAH,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,27,2,27,0,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58867,21050100402,GOVT. U.PRY. SCHOOL BALISANKARA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,65,6,40,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58868,21050106601,GOVT. U.PRY. SCHOOL BRAHMANMARA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,36,3,16,20,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58869,21050102503,GOVT. U.PRY SCHOOL DUBEDAND,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,47,3,34,13,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58870,21050103401,GOVT. U.PRY. SCHOOL GAIKANPALI,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,90,5,41,49,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58871,21050102003,GOVT. U.PRY. SCHOOL JORAJAM,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,31,3,14,17,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58872,21050102004,GOVT. U.PRY. SCHOOL KHAMARIMUNDA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,29,4,29,0,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58873,21050106402,GOVT. U.PRY. SCHOOL TIKILIPARA,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,23,2,16,7,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58874,21050105501,GOVT.U.P.SCHOOL BUDABAHAL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,59,7,43,16,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58875,21050102507,"GOVT. U.P.SCHOOL,TANGARJORE",SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,69,4,44,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58876,21050102703,GOVT UPS GIDHAPAHARI,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,59,4,40,19,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58877,21050102608,JADAKUDAR PROJECT U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,87,6,53,34,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58878,21050101002,KANTABAHAL PROJECT U.PRY. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,81,3,47,34,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58879,21050102901,KUPATANGAR PROJ. U.P. SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,71,6,53,18,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58880,21050100501,GOVT. U.G.H.S. GHOGHAR,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,96,12,45,30,21,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58881,21050105702,SOUNAMARA U.G.HIGH SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,7 - Upper Pr. and Secondary,6,10,Oper,125,10,0,70,55,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
58882,21050102502,DEOBHUBANPUR  U.G.HIGH  SCHOOL,SUNDERGARH-2105,BALISANKARA-210501,3-Co-ed,19 - 19-NEW UGHS UNDER SME DEPARTMENT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,97,7,35,37,25,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58925,21050201203,BARGAON GIRLS HIGH SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,296,13,99,96,101,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58930,21050201201,BHOIPALI PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,55,5,27,28,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58934,21050203002,CHHAMUNDA U. PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,99,6,49,50,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58940,21050200202,GOVT. HIGH SCHOOL BARANGAKACHHAR,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,352,15,0,165,187,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
58941,21050200905,"GOVT. HIGH SCHOOL, BARGAON",SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,573,22,118,209,246,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58945,21050204304,GOVT. UPPER PRIMARY SCHOOL JARANGLOI,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,146,10,88,58,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58946,21050202302,GOVT.UPPER PRIMARY SCHOOL RAJCHHAPALA,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,72,4,39,33,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58947,21050201602,GOVT.U.PRY.SCHOOL DANDAJAMIRA,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,110,7,59,51,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58948,21050206103,GOVT. U.P. SCHOOL SANKARAPOSH,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,91,7,49,42,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58949,21050203701,ITMA PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,141,8,89,52,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58954,21050204502,KUSTUNA  U.P.. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,58,5,33,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58959,21050204704,PAMARA NODAL U. PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,206,13,114,92,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58960,21050202202,"PANCHAYAT HIGH SCHOOL, EKMA",SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,395,16,0,126,269,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
58963,21050200701,PATUABEDA NODAL U. PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,65,6,39,26,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58964,21050205201,PETFORD U. PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,85,4,49,36,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58966,21050205402,RUNGAON NODAL U. PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,83,5,40,43,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58967,21050206003,SAHAJBAHAL  NODAL HIGH SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,277,16,110,85,82,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58970,21050206004,SENDRITANGAR PROJ. U.P. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,74,3,38,36,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58973,21050206902,TUDALAGA U. PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,84,5,55,29,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58975,21050204801,UDARAMA PROJECT U.PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,55,2,16,39,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58988,21050205401,BADPADA PROJECT U.PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,209,6,79,130,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58989,21050204101,BALIPOSH PROJECT U.PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,45,5,29,16,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58990,21050201402,DHUMAGADA PROJECT U.PRY. SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,46,5,25,21,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58993,21050201804,GOVT UPPER PRIMARY SCHOOL JAJPUR,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,102,6,71,31,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58994,21050201001,GOVT. UP SCHOOL KINJIRKELA,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,80,6,37,43,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58995,21050202504,"GOVT. U. P SCHOOL, TIMNA",SUNDERGARH-2105,BARGAON-210502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,98,5,51,47,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58996,21050203704,ITMA.JHARMUNDA PROJECT UPPER PRY SCHOOL,SUNDERGARH-2105,BARGAON-210502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,28,3,20,8,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
